id,company_name,slug,logo_url,website,founded_year,headquarters_country,headquarters_city,company_type,funding_stage,total_funding_usd,employees_range,primary_category,sub_categories,products,key_technologies,target_customers,business_model,notable_investors,parent_company,subsidiaries,partnerships,competitors,integrations,acquired_by,acquisitions_made,status,description_en,linkedin_url,twitter_url,github_url,crunchbase_url,last_updated
1,OpenAI,open-ai,https://logo.clearbit.com/openai.com,https://openai.com,2015,United States,San Francisco,research_lab,series_d+,11300000000,5000+,foundation_model,llm|chatbot|code_generation|multimodal|image_generation,ChatGPT|GPT-4o|DALL-E 3|Sora|Whisper|Embeddings API,transformer|rlhf|multimodal|reinforcement_learning,enterprise|developer|consumer,saas|api|licensing,Microsoft|Khosla Ventures|Tiger Global|a16z,,Microsoft,microsoft|anthropic|google-deepmind,anthropic|google-deepmind|meta-ai|mistral|cohere,microsoft|langchain|llamaindex|weights-and-biases|hugging-face,,global-illumination|codex,active,Leading AI research company behind ChatGPT and GPT-4. Develops frontier language models and multimodal AI systems for broad commercial use.,https://linkedin.com/company/openai,https://twitter.com/openai,https://github.com/openai,https://crunchbase.com/organization/openai,2026-05-01
2,Anthropic,anthropic,https://logo.clearbit.com/anthropic.com,https://anthropic.com,2021,United States,San Francisco,research_lab,series_d+,7700000000,1001-5000,foundation_model,llm|safety|constitutional_ai|multimodal,Claude 3.5 Sonnet|Claude 3 Opus|Claude API|Claude.ai,transformer|rlhf|constitutional_ai|multimodal,enterprise|developer|consumer,saas|api,Google|Amazon|Spark Capital|Salesforce Ventures,,amazon|google,open-ai|google-deepmind|amazon,open-ai|google-deepmind|meta-ai|mistral|cohere,amazon|google|langchain|llamaindex,,,active,AI safety company building reliable and interpretable AI. Creator of the Claude family of models with a focus on safe and beneficial AI.,https://linkedin.com/company/anthropic,https://twitter.com/anthropic_ai,https://github.com/anthropic-ai,https://crunchbase.com/organization/anthropic,2026-05-01
3,Google DeepMind,google-deepmind,https://logo.clearbit.com/deepmind.com,https://deepmind.google,2010,United Kingdom,London,research_lab,public,0,5000+,foundation_model,llm|multimodal|reinforcement_learning|scientific_ai,Gemini 1.5 Pro|Gemini Ultra|AlphaFold|Gemma|Imagen,transformer|rlhf|multimodal|alphago|diffusion,enterprise|developer|researcher,api|licensing|saas,Alphabet,alphabet,alphabet,open-ai|anthropic|microsoft,open-ai|anthropic|meta-ai|mistral,google-cloud|hugging-face,,deepmind,active,Google's consolidated AI research lab. Develops Gemini models AlphaFold and foundational AI research pushing the frontier of artificial intelligence.,https://linkedin.com/company/deepmind,https://twitter.com/googledeepmind,https://github.com/google-deepmind,https://crunchbase.com/organization/deepmind,2026-05-01
4,Meta AI,meta-ai,https://logo.clearbit.com/meta.com,https://ai.meta.com,2013,United States,Menlo Park,research_lab,public,0,5000+,foundation_model,llm|multimodal|open_source|image_generation,Llama 3|Llama 3.1|ImageBind|SAM|SeamlessM4T,transformer|multimodal|open_source,developer|researcher|enterprise,open_source,Meta,meta-platforms,meta-platforms,open-ai|google-deepmind|mistral,open-ai|google-deepmind|anthropic|mistral|cohere,hugging-face|langchain|llamaindex,,,active,Meta's AI research division. Develops and open-sources Llama models and advances multimodal and foundational AI research across Meta's platforms.,https://linkedin.com/company/meta-ai,https://twitter.com/MetaAI,https://github.com/facebookresearch,https://crunchbase.com/organization/meta-ai,2026-05-01
5,Mistral AI,mistral,https://logo.clearbit.com/mistral.ai,https://mistral.ai,2023,France,Paris,startup,series_b,1070000000,201-500,foundation_model,llm|open_source|code_generation|mixture_of_experts,Mistral Large|Mistral 7B|Mixtral 8x7B|Mistral Nemo|Le Chat,transformer|mixture_of_experts|open_source,developer|enterprise|researcher,api|open_source|saas,a16z|Lightspeed|General Catalyst|BNP Paribas,,,open-ai|anthropic|google-deepmind|cohere,open-ai|google-deepmind|meta-ai|cohere,hugging-face|langchain|azure-ai,,,active,European AI company building open and efficient large language models. Known for Mixtral MoE architecture and commitment to open-weight model releases.,https://linkedin.com/company/mistral-ai,https://twitter.com/MistralAI,https://github.com/mistralai,https://crunchbase.com/organization/mistral-ai,2026-05-01
6,xAI,x-ai,https://logo.clearbit.com/x.ai,https://x.ai,2023,United States,San Francisco,startup,series_b,6000000000,501-1000,foundation_model,llm|chatbot|real_time_information,Grok 2|Grok 3|Aurora,transformer|rlhf|real_time_data,consumer|enterprise|developer,saas|api,Elon Musk|Valor Equity Partners|Vy Capital,,,open-ai|anthropic|google-deepmind,open-ai|anthropic|google-deepmind|meta-ai,x-twitter,,,active,AI company founded by Elon Musk developing Grok LLMs with real-time web access. Integrated into X platform with focus on truth-seeking AI.,https://linkedin.com/company/x-ai,https://twitter.com/xai,https://github.com/xai-org,https://crunchbase.com/organization/x-ai,2026-05-01
7,Cohere,cohere,https://logo.clearbit.com/cohere.com,https://cohere.com,2019,Canada,Toronto,scaleup,series_d+,970000000,501-1000,foundation_model,llm|embeddings|rag|enterprise_ai,Command R+|Command R|Embed|Rerank|Aya,transformer|rag|embeddings,enterprise|developer,api|saas,Tiger Global|Oracle|Salesforce|Nvidia,,oracle,open-ai|anthropic|google-deepmind|mistral,open-ai|anthropic|mistral|ai21,langchain|llamaindex|aws-bedrock|azure-ai,,,active,Enterprise-focused AI company offering Command language models embeddings and reranking for production RAG systems and business applications.,https://linkedin.com/company/cohere-ai,https://twitter.com/cohere,https://github.com/cohere-ai,https://crunchbase.com/organization/cohere,2026-05-01
8,AI21 Labs,ai21,https://logo.clearbit.com/ai21.com,https://ai21.com,2017,Israel,Tel Aviv,scaleup,series_c,336000000,201-500,foundation_model,llm|writing_assistant|rag,Jamba|Jamba 1.5|Wordtune,transformer|mamba|state_space_model,enterprise|developer|consumer,saas|api,Google|Pitango|TPY Capital,,,open-ai|cohere|anthropic,open-ai|cohere|anthropic|mistral,aws-bedrock|azure-ai|google-cloud,,,active,Israeli AI company developing Jamba hybrid SSM-Transformer models and Wordtune writing assistant for enterprise and consumer use cases.,https://linkedin.com/company/ai21-labs,https://twitter.com/AI21Labs,https://github.com/AI21Labs,https://crunchbase.com/organization/ai21-labs,2026-05-01
19,Replicate,replicate,https://logo.clearbit.com/replicate.com,https://replicate.com,2019,United States,San Francisco,startup,series_b,40000000,11-50,infrastructure,model_hosting|inference|open_source_models,Replicate API|Cog,cloud_inference|containers,developer,api,a16z|Y Combinator,,,hugging-face|together-ai,hugging-face|together-ai|modal,open-ai|stability-ai|meta-ai|hugging-face,aws-bedrock|azure-ai,,,active,Cloud platform for running open-source AI models via API. Enables developers to deploy and scale ML models without managing infrastructure.,https://linkedin.com/company/replicate,https://twitter.com/replicate,https://github.com/replicate,https://crunchbase.com/organization/replicate,2026-05-01
20,Together AI,together-ai,https://logo.clearbit.com/together.ai,https://together.ai,2022,United States,San Francisco,startup,series_b,228000000,51-200,infrastructure,cloud_inference|model_hosting|fine_tuning|open_source,Together Inference|Together Fine-tuning|RedPajama,cloud_inference|open_source|fine_tuning,developer|enterprise|researcher,api|saas,Salesforce Ventures|Kleiner Perkins|NVIDIA,,,replicate|anyscale,replicate|anyscale|modal,meta-ai|mistral|hugging-face|stability-ai,aws-bedrock|azure-ai,,,active,Cloud platform for running and fine-tuning open-source AI models. Offers fast inference for Llama Mistral and other models at competitive pricing.,https://linkedin.com/company/together-ai,https://twitter.com/togethercompute,https://github.com/togethercomputer,https://crunchbase.com/organization/together-ai,2026-05-01
21,Groq,groq,https://logo.clearbit.com/groq.com,https://groq.com,2016,United States,Mountain View,scaleup,series_d+,640000000,201-500,hardware,lpu|inference_hardware|cloud_inference,LPU Inference Engine|GroqCloud|GroqChip,lpu|custom_silicon|llm_inference,developer|enterprise,api|hardware,BlackRock|Battery Ventures|Tiger Global,,,cerebras|sambanova,cerebras|sambanova|nvidia,open-ai|anthropic|meta-ai|mistral,aws-bedrock|azure-ai,,,active,AI infrastructure company building Language Processing Units for ultra-fast LLM inference. GroqCloud offers the fastest inference speeds for open-source models.,https://linkedin.com/company/groq,https://twitter.com/GroqInc,https://github.com/groq,https://crunchbase.com/organization/groq,2026-05-01
22,Cerebras Systems,cerebras,https://logo.clearbit.com/cerebras.net,https://cerebras.net,2016,United States,Sunnyvale,scaleup,series_f,720000000,501-1000,hardware,wafer_scale_chip|inference|training,CS-3|Cerebras Inference|Cerebras Cloud,wafer_scale_engine|custom_silicon,enterprise|researcher|developer,hardware|cloud|api,Coatue|Eclipse|Foundation Capital,,,groq|sambanova,groq|sambanova|nvidia,open-ai|meta-ai|mistral,aws-bedrock,,,active,AI chip company building wafer-scale processors for ultra-fast neural network training and inference. Offers cloud inference services for open-source LLMs.,https://linkedin.com/company/cerebras-systems,https://twitter.com/CerebrasSystems,https://github.com/Cerebras,https://crunchbase.com/organization/cerebras-systems,2026-05-01
23,NVIDIA,nvidia,https://logo.clearbit.com/nvidia.com,https://nvidia.com,1993,United States,Santa Clara,enterprise,public,0,5000+,hardware,gpu|ai_chips|software|cloud,H100|H200|B200|Blackwell|CUDA|NeMo|Triton,gpu|cuda|transformer_engine|nvlink,enterprise|developer|researcher|cloud_provider,hardware|software|cloud,public,,,amd|intel|groq|cerebras,amd|intel|groq|cerebras|sambanova,open-ai|anthropic|google-deepmind|meta-ai|hugging-face|microsoft,aws-bedrock|azure-ai|google-cloud,,,active,World's dominant AI chip maker. GPUs power most AI training and inference globally. Also developing NeMo software stack and AI cloud services.,https://linkedin.com/company/nvidia,https://twitter.com/nvidia,https://github.com/NVIDIA,https://crunchbase.com/organization/nvidia,2026-05-01
24,AMD,amd,https://logo.clearbit.com/amd.com,https://amd.com,1969,United States,Santa Clara,enterprise,public,0,5000+,hardware,gpu|ai_chips|instinct,Instinct MI300X|ROCm|Instinct MI325X,gpu|rocm|cdna,enterprise|cloud_provider|researcher,hardware,public,,,nvidia|intel|groq,nvidia|intel|groq|cerebras,microsoft|google-cloud|aws-bedrock,azure-ai|aws-bedrock|google-cloud,,,active,Semiconductor company competing with NVIDIA in AI accelerators. MI300X GPU series targets LLM inference workloads with ROCm open-source software stack.,https://linkedin.com/company/amd,https://twitter.com/AMDRyzen,https://github.com/ROCm,https://crunchbase.com/organization/advanced-micro-devices,2026-05-01
25,Intel,intel-gaudi,https://logo.clearbit.com/intel.com,https://intel.com,1968,United States,Santa Clara,enterprise,public,0,5000+,hardware,ai_chips|gaudi|cpu,Gaudi 3|Gaudi 2|OpenVINO,gaudi|habana|openvino,enterprise|cloud_provider,hardware|software,public,,,nvidia|amd|groq,nvidia|amd|groq|cerebras,microsoft|google-cloud|aws-bedrock,azure-ai|aws-bedrock,,,active,Semiconductor giant with Gaudi AI accelerator line for LLM training and inference. OpenVINO toolkit enables optimized model deployment across Intel hardware.,https://linkedin.com/company/intel,https://twitter.com/intel,https://github.com/intel,https://crunchbase.com/organization/intel,2026-05-01
26,SambaNova Systems,sambanova,https://logo.clearbit.com/sambanova.ai,https://sambanova.ai,2017,United States,Palo Alto,scaleup,series_d+,1100000000,501-1000,hardware,rdu|inference|training|enterprise_ai,SambaNova Suite|RDU|SambaStudio|Samba-1,reconfigurable_dataflow_unit|custom_silicon,enterprise|government,hardware|saas,SoftBank|GV|Walden International,,,groq|cerebras|nvidia,groq|cerebras|nvidia|amd,meta-ai|mistral|open-ai,aws-bedrock|azure-ai,,,active,Enterprise AI chip company building Reconfigurable Dataflow Units for efficient LLM training and inference at scale for large organizations.,https://linkedin.com/company/sambanova-systems,https://twitter.com/SambaNovaAI,https://github.com/sambanova,https://crunchbase.com/organization/sambanova-systems,2026-05-01
27,Scale AI,scale-ai,https://logo.clearbit.com/scale.com,https://scale.com,2016,United States,San Francisco,scaleup,series_f,1600000000,1001-5000,data_platform,data_labeling|rlhf|evaluation|synthetic_data,Scale Data Engine|Scale Evaluation|RLHF Platform|Donovan,data_labeling|rlhf|evaluation,enterprise|government|ai_labs,saas|services,Tiger Global|Index Ventures|Coatue|Accel,,,labelbox|surge-ai,labelbox|surge-ai|appen,open-ai|anthropic|google-deepmind|meta-ai|microsoft,aws-bedrock|azure-ai,,,active,Data infrastructure company powering AI model training through data labeling RLHF and evaluation services. Trusted by major AI labs and government agencies.,https://linkedin.com/company/scale-ai,https://twitter.com/scale_AI,https://github.com/scaleapi,https://crunchbase.com/organization/scale-ai,2026-05-01
28,Labelbox,labelbox,https://logo.clearbit.com/labelbox.com,https://labelbox.com,2018,United States,San Francisco,scaleup,series_d+,188000000,201-500,data_platform,data_labeling|annotation|model_evaluation,Labelbox Platform|Catalog|Model Diagnostics,data_annotation|active_learning,enterprise|developer,saas,Andreessen Horowitz|B Capital|Snowflake,,,scale-ai|surge-ai,scale-ai|surge-ai|appen,open-ai|anthropic|google-deepmind,aws-bedrock|azure-ai|google-cloud,,,active,Data labeling and model evaluation platform used by ML teams to create high-quality training data and monitor model performance in production.,https://linkedin.com/company/labelbox,https://twitter.com/labelbox,https://github.com/Labelbox,https://crunchbase.com/organization/labelbox,2026-05-01
29,Cursor,cursor,https://logo.clearbit.com/cursor.com,https://cursor.com,2022,United States,San Francisco,startup,series_b,900000000,51-200,applications,code_generation|developer_tools|ide,Cursor IDE|Composer|Cursor Chat,llm|code_generation|rag,developer,saas,a16z|Thrive Capital|OpenAI Startup Fund,,,github-copilot|codeium|replit,github-copilot|codeium|replit|tabnine,open-ai|anthropic|google-deepmind,,,active,AI-first code editor built on VS Code enabling natural language coding via Composer and Chat. The leading standalone AI IDE with deep model integration.,https://linkedin.com/company/anysphere,https://twitter.com/cursor_ai,https://github.com/getcursor,https://crunchbase.com/organization/anysphere,2026-05-01
30,GitHub Copilot,github-copilot,https://logo.clearbit.com/github.com,https://github.com/features/copilot,2021,United States,San Francisco,enterprise,public,0,5000+,applications,code_generation|developer_tools|ide_plugin,GitHub Copilot|Copilot Chat|Copilot Workspace,llm|code_generation|codex,developer|enterprise,saas,public,microsoft,,cursor|codeium|replit,cursor|codeium|replit|tabnine,open-ai|microsoft,microsoft|azure-ai,,,active,AI coding assistant embedded in VS Code and JetBrains IDEs. Powered by OpenAI models offering autocomplete chat and full-feature workspace planning.,https://linkedin.com/company/github,https://twitter.com/github,https://github.com/features/copilot,https://crunchbase.com/organization/github,2026-05-01
